experiment,metric,n,mean,sd,median,q1,q3,iqr,min,max
B,human_agreement_precision,6,0.49650349650349646,0.24729946379518988,0.48863636363636365,0.4077797202797203,0.5721153846153846,0.16433566433566427,0.1346153846153846,0.8863636363636364
B,human_agreement_f1,6,0.5739645299216467,0.21462562405898156,0.5924985899605189,0.5051679586563308,0.6373604060913706,0.13219244743503977,0.23728813559322035,0.8931297709923665
B,corrective_observation_recall,6,0.7916666666666666,0.2674467755980202,0.875,0.6875,1.0,0.3125,0.3333333333333333,1.0
B,strength_observation_recall,6,0.923611111111111,0.1354433734348322,1.0,0.90625,1.0,0.09375,0.6666666666666666,1.0
B,human_targeted_requirement_recall,6,0.7738496071829406,0.15721297942594864,0.7222222222222222,0.6439393939393939,0.8888888888888888,0.24494949494949492,0.6363636363636364,1.0
B,corrective_requirement_recall,6,0.799102829537612,0.20713131152404063,0.8115942028985508,0.6166666666666667,0.9891304347826086,0.37246376811594195,0.5714285714285714,1.0
B,strength_requirement_recall,5,0.82,0.17535677916750184,0.75,0.75,1.0,0.25,0.6,1.0
B,full_rubric_coverage,6,0.49650349650349646,0.24729946379518988,0.48863636363636365,0.4077797202797203,0.5721153846153846,0.16433566433566427,0.1346153846153846,0.8863636363636364
B,average_summary_similarity,6,0.4203002345230844,0.045978867618519784,0.4185843865076701,0.38588442156712216,0.4596008832255999,0.07371646165847773,0.36265282332897186,0.47372232874234516
B,grounded_feedback_rate,6,0.49626544952631907,0.2586790483100857,0.49047619047619045,0.29978354978354976,0.7125,0.41271645021645026,0.17391304347826086,0.8
B,not_assessable_observation_rate,6,0.5731050803061672,0.2899994247976654,0.5857142857142856,0.3474025974025974,0.7828125,0.43540990259740264,0.21739130434782608,0.9333333333333333
C,human_observation_recall,6,0.8027777777777777,0.1335068315633102,0.7916666666666667,0.6875,0.8833333333333333,0.1958333333333333,0.6666666666666666,1.0
C,weighted_human_feedback_coverage,6,0.5201388888888889,0.09611974110259362,0.5,0.453125,0.575,0.12187499999999996,0.4166666666666667,0.6666666666666666
C,human_agreement_precision,6,0.47931235431235436,0.19401787778431634,0.5402097902097902,0.3758741258741259,0.5826048951048951,0.20673076923076922,0.17307692307692307,0.7045454545454546
C,human_agreement_f1,6,0.5816174413653517,0.18343010716137176,0.6341733960422398,0.5040424054843655,0.680179610422464,0.17613720493809848,0.2748091603053435,0.7903682719546743
C,corrective_observation_recall,6,0.8055555555555555,0.22152668930418762,0.8333333333333333,0.6666666666666666,1.0,0.33333333333333337,0.5,1.0
C,strength_observation_recall,6,0.8680555555555555,0.16333475056074487,0.9375,0.71875,1.0,0.28125,0.6666666666666666,1.0
C,human_targeted_requirement_recall,6,0.7261503928170594,0.28260105243133204,0.8535353535353536,0.51010101010101,0.904040404040404,0.3939393939393939,0.3333333333333333,1.0
C,corrective_requirement_recall,6,0.7541062801932368,0.3137427330719957,0.9,0.49347826086956526,1.0,0.5065217391304347,0.3333333333333333,1.0
C,strength_requirement_recall,5,0.8099999999999999,0.2073644135332772,0.8,0.75,1.0,0.25,0.5,1.0
C,full_rubric_coverage,6,0.47405008515033914,0.18404778408807448,0.5245098039215687,0.3852040816326531,0.5733014135886914,0.18809733195603828,0.17647058823529413,0.6904761904761905
C,average_summary_similarity,6,0.4973129630088806,0.035419453446355664,0.498235821723938,0.47731517255306244,0.5118616595864296,0.03454648703336716,0.44912421703338623,0.5515366892019907
C,grounded_feedback_rate,6,0.9658432007269218,0.03159351466696538,0.964562569213732,0.9452380952380952,0.9941860465116279,0.048947951273532686,0.9230769230769231,1.0
C,not_assessable_observation_rate,6,0.9744810744810746,0.031917915446432805,0.9857142857142858,0.9571428571428571,1.0,0.04285714285714293,0.9230769230769231,1.0
D,human_observation_recall,6,0.8143518518518519,0.13449054153105666,0.8263888888888888,0.6944444444444444,0.89375,0.19930555555555562,0.6666666666666666,1.0
D,weighted_human_feedback_coverage,6,0.5363425925925925,0.11368686915430029,0.5590277777777778,0.5138888888888888,0.590625,0.07673611111111112,0.3333333333333333,0.6666666666666666
D,human_agreement_precision,6,0.47989510489510495,0.2790283180765359,0.5262237762237763,0.27403846153846156,0.625,0.35096153846153844,0.11538461538461539,0.8636363636363636
D,human_agreement_f1,6,0.5605651834149585,0.2565084788665347,0.6085206306608522,0.3772395487723955,0.7205282579141581,0.34328870914176257,0.20689655172413793,0.8814432989690723
D,corrective_observation_recall,6,0.7777777777777777,0.2018433569398328,0.75,0.6666666666666666,0.9583333333333334,0.29166666666666674,0.5,1.0
D,strength_observation_recall,6,0.8680555555555555,0.16333475056074487,0.9375,0.71875,1.0,0.28125,0.6666666666666666,1.0
D,human_targeted_requirement_recall,6,0.7177328843995511,0.2985787255766697,0.7272727272727273,0.6818181818181818,0.9318181818181819,0.2500000000000001,0.18518518518518517,1.0
D,corrective_requirement_recall,6,0.7518978605935128,0.34045833871434716,0.8571428571428572,0.6785714285714286,1.0,0.3214285714285714,0.13043478260869565,1.0
D,strength_requirement_recall,5,0.79,0.21330729007701543,0.75,0.7,1.0,0.30000000000000004,0.5,1.0
D,full_rubric_coverage,6,0.4763991488068096,0.2744358541019689,0.5161878704970361,0.2777450980392157,0.6162790697674418,0.33853397172822614,0.11764705882352941,0.8604651162790697
D,average_summary_similarity,6,0.516012277868059,0.04289486088004203,0.5122826993465424,0.4844452068209648,0.5463017821311951,0.061856575310230255,0.46425333619117737,0.5744474132855734
D,grounded_feedback_rate,6,0.9552747339067592,0.06313410292049465,0.9769353128313891,0.9522357723577235,0.9945652173913043,0.042329445033580826,0.8333333333333334,1.0
D,not_assessable_observation_rate,6,0.9629629629629629,0.06728111897994424,1.0,0.9583333333333333,1.0,0.04166666666666674,0.8333333333333334,1.0
