assessment_id,student_id,experiment,evaluation_id,human_observation_recall,weighted_human_feedback_coverage,human_agreement_precision,human_agreement_f1,corrective_observation_recall,strength_observation_recall,grounded_feedback_rate,additional_valid_observation_rate,novel_grounded_feedback_rate,unsupported_observation_rate,contradicted_observation_rate,not_assessable_observation_rate,human_targeted_requirement_recall,corrective_requirement_recall,strength_requirement_recall,human_targeted_component_recall,full_rubric_coverage,overall_summary_similarity,strengths_summary_similarity,improvement_summary_similarity,average_summary_similarity,human_observations_total,human_observations_eligible,human_observations_excluded,human_observations_matched,human_observations_partially_matched,human_observations_not_matched,generated_observations_total,generated_observations_fully_human_matched,generated_observations_partially_human_matched,generated_observations_additional_valid,generated_observations_unsupported,generated_observations_contradicted,generated_observations_not_assessable,generated_observations_unresolved,applicable_requirements,human_targeted_requirements,generated_covered_requirements,human_targeted_components,generated_covered_components
assessment_2,student_2,B,evaluation_assessment_2_student_2_B,0.8888888888888888,0.5555555555555556,0.5,0.64,0.75,1.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.2727272727272727,1.0,1.0,1.0,1.0,0.5,0.42267096042633057,0.6113976836204529,0.3870983421802521,0.47372232874234516,9,9,0,2,6,1,44,1,21,0,0,0,6,16,44,6,22,2,2
assessment_2,student_6,B,evaluation_assessment_2_student_6_B,0.9,0.6,0.8863636363636364,0.8931297709923665,1.0,0.875,0.6,0.0,0.0,0.0,0.0,0.6,0.6363636363636364,1.0,0.6,1.0,0.8863636363636364,0.38085848093032837,0.570228099822998,0.2538720667362213,0.40165288249651593,10,10,0,3,6,1,44,9,30,0,0,0,3,2,44,11,39,1,2
assessment_1,student_3,C,evaluation_assessment_1_student_3_C,0.8333333333333334,0.4166666666666667,0.3269230769230769,0.4696132596685083,1.0,0.6666666666666666,0.9428571428571428,0.0,0.0,0.0,0.0,0.9714285714285714,0.4074074074074074,0.391304347826087,0.5,1.0,0.3469387755102041,0.5976796746253967,0.4249110817909241,0.4832358956336975,0.5019422173500061,6,6,0,0,5,1,52,0,17,0,0,0,34,1,49,27,17,2,2
assessment_1,student_5,C,evaluation_assessment_1_student_5_C,0.6666666666666666,0.5,0.5576923076923077,0.6073298429319371,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,0.9090909090909091,1.0,0.75,1.0,0.5490196078431373,0.5428143739700317,0.36374396085739136,0.5081729292869568,0.47157708803812665,6,6,0,2,2,2,52,2,27,0,0,0,23,0,51,11,29,2,2
assessment_1,student_7,C,evaluation_assessment_1_student_7_C,0.6666666666666666,0.5,0.17307692307692307,0.2748091603053435,0.5,1.0,0.9767441860465116,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,,0.5,0.17647058823529413,0.693708062171936,0.29717347025871277,0.6637285351753235,0.5515366892019907,3,3,0,1,1,1,52,4,5,0,0,0,43,0,51,3,9,2,1
assessment_2,student_1,C,evaluation_assessment_2_student_1_C,0.75,0.4375,0.5909090909090909,0.6610169491525425,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8888888888888888,0.8,1.0,1.0,0.5813953488372093,0.6688829660415649,0.650833010673523,0.16387230157852173,0.4945294260978699,8,8,0,1,5,2,44,1,25,0,0,0,18,0,43,9,26,2,2
assessment_2,student_2,C,evaluation_assessment_2_student_2_C,1.0,0.6666666666666666,0.5227272727272727,0.6865671641791045,1.0,1.0,0.9523809523809523,0.0,0.0,0.0,0.0,0.9523809523809523,1.0,1.0,1.0,1.0,0.5,0.5822454690933228,0.5912816524505615,0.371977299451828,0.5151681403319041,9,9,0,3,6,0,44,6,17,0,0,0,20,1,42,6,23,2,2
assessment_2,student_6,C,evaluation_assessment_2_student_6_C,0.9,0.6,0.7045454545454546,0.7903682719546743,1.0,0.875,0.9230769230769231,0.0,0.0,0.0,0.0,0.9230769230769231,0.8181818181818182,1.0,0.8,1.0,0.6904761904761905,0.5628998875617981,0.4887111783027649,0.2957615852355957,0.44912421703338623,10,10,0,3,6,1,44,4,27,0,0,0,12,1,42,11,31,1,2
assessment_1,student_3,D,evaluation_assessment_1_student_3_D,0.6666666666666666,0.3333333333333333,0.21153846153846154,0.32116788321167883,0.6666666666666666,0.6666666666666666,0.975609756097561,0.0,0.0,0.0,0.0,1.0,0.18518518518518517,0.13043478260869565,0.5,1.0,0.22,0.6782492995262146,0.5541106462478638,0.42542099952697754,0.5525936484336853,6,6,0,0,4,2,52,0,11,0,0,0,41,0,50,27,11,2,2
assessment_1,student_5,D,evaluation_assessment_1_student_5_D,0.6666666666666666,0.5,0.46153846153846156,0.5454545454545455,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,0.7272727272727273,0.7142857142857143,0.75,1.0,0.45098039215686275,0.5792739987373352,0.4303394556045532,0.4818041920661926,0.49713921546936035,6,6,0,2,2,2,52,2,22,0,0,0,28,0,51,11,24,2,2
assessment_1,student_7,D,evaluation_assessment_1_student_7_D,1.0,0.6666666666666666,0.11538461538461539,0.20689655172413793,1.0,1.0,0.9782608695652174,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,,1.0,0.11764705882352941,0.6699005961418152,0.2280433475971222,0.4948160648345947,0.46425333619117737,3,3,0,1,2,0,52,2,4,0,0,0,46,0,51,3,6,2,2
assessment_2,student_1,D,evaluation_assessment_2_student_1_D,0.875,0.5625,0.6363636363636364,0.7368421052631579,0.8333333333333334,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.627906976744186,0.6688829660415649,0.650833010673523,0.4036262631416321,0.5744474132855734,8,8,0,2,5,1,44,2,26,0,0,0,16,0,43,9,28,2,2
assessment_2,student_2,D,evaluation_assessment_2_student_2_D,0.7777777777777778,0.5555555555555556,0.5909090909090909,0.6715867158671587,0.5,1.0,0.9444444444444444,0.0,0.0,0.0,0.0,0.9444444444444444,1.0,1.0,1.0,1.0,0.5813953488372093,0.5822454690933228,0.5912816524505615,0.4087514281272888,0.5274261832237244,9,9,0,3,4,2,44,6,20,0,0,0,17,1,43,6,26,2,2
assessment_2,student_6,D,evaluation_assessment_2_student_6_D,0.9,0.6,0.8636363636363636,0.8814432989690723,1.0,0.875,0.8333333333333334,0.0,0.0,0.0,0.0,0.8333333333333334,0.7272727272727273,1.0,0.7,1.0,0.8604651162790697,0.5684851408004761,0.5330668091773987,0.33908966183662415,0.48021387060483295,10,10,0,3,6,1,44,6,32,0,0,0,5,1,43,11,38,1,2
